Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[va workers ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[va worker ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[va workers philippines],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtual assistant work],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtual assistants work],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[i need a va careers],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[i need a va career],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtualstaff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtual staff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtualstaffph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
