Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Labels,Comment
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,en,,Presence,,,Hire_VA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au,staff,partner,Staffing Partner Australia,Dedicated Filipino Employee,We Recruit and Vet,You Interview. You Pick.,Employment Admin Handled,Not a Freelance Board,Australian Hours. One Seat.,Book a Hiring Consultation,Staffing Partner Since 2011,Offices. Reviews. History.,Agency and Provider Search,Skip Marketplace Hiring,You Keep Hire Control,Dedicated. Not Rotating.,Australian Employers Hiring,"Staffing partner for Australian employers. Dedicated Filipino employee, not freelance.",We recruit and vet. You interview. We handle employment admin after you say yes.,"Australian hours. Book a hiring consultation. Employers only. Offices, reviews, history.",Provider and agency searches stay on the AU hub. Not a role page. Not a job board.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au · do not mix with 02
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,en,,Presence,,,Agency_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au,agency,hire,Virtual Assistant Agency,Established Staffing Partner,Dedicated Filipino Employee,We Recruit and Vet,You Interview the Shortlist,Employment Admin Handled,Not a Freelance Agency,Book a Hiring Consultation,Staffing Firm Since 2011,Australian Hours. One Seat.,"Reviews, Offices, History",Skip Marketplace Guesswork,You Choose Who Joins,Agency. Not a Job Board.,Australian Employers Hiring,"A virtual assistant agency and staffing partner — dedicated Filipino employee, not gigs.",We recruit and vet. You interview. Employment admin handled. Nobody starts until you pick.,Looking for an agency in Australia? Book a hiring consultation. Employers only.,"Stays on the AU hub. Not a role page. Offices, reviews, and history you can check.",,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Recruitment_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/recruitment,recruit,hire,Hire Recruiting Support,Hiring Still Slowing You?,Dedicated Recruiting Seat,Filipino Recruiting Hire,On Australian Hours,We Recruit and Vet,You Interview First,Screens Without the Chase,Book a Hiring Consultation,Not Freelance Recruiters,Sourcing Help You Keep,Interview Scheduling Help,You Choose Who Joins,Employment Admin Handled,Australian TA Teams Hiring,Hiring still slowing you? Hire dedicated Filipino recruiting support on Australian hours.,We recruit and vet. You interview. This is the recruiting seat — not a generic VA dump.,Book a hiring consultation. File 02 already pauses the junk generic keyword.,Not freelance recruiters. One dedicated teammate. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au/recruitment · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/administrative-support,admin,hire,Hire a Virtual Assistant,Still Doing the Admin?,Dedicated Admin Teammate,Filipino Virtual Assistant,On Australian Hours,We Recruit and Vet,You Interview First,Inbox and Follow-Ups,Book a Hiring Consultation,Not a Freelance Assistant,Managers Get Time Back,One Admin Seat. Yours.,You Choose Who Joins,Employment Admin Handled,Australian Teams Hiring,Still doing the admin yourself? Hire a dedicated Filipino VA on Australian hours.,"We recruit and vet. You interview. Inbox, calendar, and follow-ups get one owner.",Book a hiring consultation. Admin is preselected on this page. Employers only.,Not a freelance assistant. One dedicated teammate. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 2 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/au/administrative-support · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Customer_Service_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/customer-service,support,hire,Hire Customer Support Staff,Queue Never Clearing?,Dedicated Support Seat,Filipino Support Hire,On Australian Hours,We Recruit and Vet,You Interview First,Tickets Need an Owner,Book a Hiring Consultation,Not Freelance Support,Chat That Gets Closed,One Seat. Your Customers.,You Choose Who Joins,Employment Admin Handled,Australian Teams Hiring,Queue never clearing? Hire dedicated Filipino customer support staff on Australian hours.,We recruit and vet. You interview. Tickets and chat stop bouncing back to you.,Book a hiring consultation. Customer service is already selected in the form.,Not freelance support. One dedicated teammate. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 2 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/au/customer-service · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/bookkeeping,books,hire,Hire a Bookkeeper,Books Falling Behind?,Dedicated Bookkeeper Seat,Filipino Bookkeeper Hire,On Australian Hours,We Recruit and Vet,You Interview First,Invoices Still On Your Desk?,Book a Hiring Consultation,Not a Freelance Bookkeeper,Reconcile Without the Pile,Dedicated Books Teammate,You Choose Who Joins,Employment Admin Handled,Australian Teams Hiring,Books falling behind? Hire a dedicated Filipino bookkeeper on Australian hours.,We recruit and vet. You interview. Invoices and routine reporting leave your desk.,Book a hiring consultation. Bookkeeping is already selected in the form. Employers only.,One dedicated books teammate. You pick who joins. We handle employment admin after yes.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au/bookkeeping · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Customer_Service_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/customer-service,support,outsource,Outsource Support Staff,Tickets Still Piling Up?,Dedicated Support Hire,Filipino Support Staff,On Australian Hours,We Recruit and Vet,You Interview First,Chat and Follow-Through,Book a Hiring Consultation,Not a Support Marketplace,Customers Wait Less,One Owner. Your Queue.,You Choose Who Joins,Employment Admin Handled,Australian Support Hiring,Tickets still piling up? Outsource to dedicated Filipino support on Australian hours.,"We recruit and vet. You interview. Tickets, chat, and follow-through get an owner.",Book a hiring consultation. Same support page. Role is preselected. Employers only.,Not a support marketplace. One dedicated seat. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au/customer-service · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Accounting_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/accounting,accounting,hire,Hire Accounting Support,Month-End Still a Scramble?,Dedicated Accounting Seat,Filipino Accounting Hire,On Australian Hours,We Recruit and Vet,You Interview First,Recurring Work Stacking?,Book a Hiring Consultation,Not Licensed Advice,Extra Capacity. Your Tools.,AP and AR Support Staff,You Choose Who Joins,Employment Admin Handled,Australian Finance Hiring,Month-end still a scramble? Hire dedicated Filipino accounting support. Australian hours.,We recruit and vet. You interview. Extra capacity — not a substitute for your accountant.,Book a hiring consultation. Accounting is already selected in the form. Employers only.,Not freelance book tasks. One dedicated seat. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/au/accounting · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Social_Media_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/social-media,social,outsource,Outsource Social Staff,Social Still Going Quiet?,Dedicated Social Seat,Filipino Social Teammate,On Australian Hours,We Recruit and Vet,You Interview First,Scheduling and Community,Book a Hiring Consultation,Not a Freelance Poster,Channels Stay Active,One Owner. Your Brand.,You Choose Who Joins,Employment Admin Handled,Australian Brands Hiring,Social still going quiet? Outsource to a dedicated Filipino social teammate. AU hours.,"We recruit and vet. You interview. Scheduling, replies, and assets get one owner.",Same /au/social-media page as the frozen hire group. This ad stays Paused.,Not a freelance poster. One dedicated seat. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 1 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/au/social-media · do not mix with 02
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Sales_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au/sales,sales,hire,Hire Sales Support Staff,CRM Getting Messy?,Dedicated Sales Seat,Filipino Sales Support,On Australian Hours,We Recruit and Vet,You Interview First,Lists and Outreach Help,Book a Hiring Consultation,Not Freelance Sales Help,Pipeline Hygiene Owned,One Seat. Your CRM.,You Choose Who Joins,Employment Admin Handled,Australian Sales Hiring,CRM getting messy? Hire dedicated Filipino sales support staff on Australian hours.,"We recruit and vet. You interview. Lists, outreach support, and CRM hygiene get an owner.",Book a hiring consultation. Sales is preselected. Employers hiring support — not reps.,Not freelance sales help. One dedicated teammate. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 2 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/au/sales · do not mix with 02
