Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Labels,Comment
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,Offshore_VA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,offshore,staff,Offshore Staffing Partner,Dedicated Filipino Employee,We Recruit and Vet,You Interview. You Pick.,Employment Admin Handled,Not a Freelance Bench,Philippines Staff. US Hours.,Book a Hiring Consultation,Staffing Partner Since 2011,One Seat. Your Company.,Offices. Reviews. History.,Skip the Gig Marketplace,You Keep Hire Control,Dedicated. Not Rotating.,US Employers Hiring Staff,"Offshore staffing partner for US employers. Dedicated Filipino employee, not freelance.",We recruit and vet. You interview. We handle employment admin after you say yes.,Philippines staff on your US hours. Book a hiring consultation. Employers only.,"Not a marketplace or job board. One dedicated seat, screened for your role, on your hours.",,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us · do not mix with 02
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,Agency_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,agency,partner,Virtual Assistant Agency,Established Staffing Partner,Dedicated Filipino Employee,We Recruit and Vet,You Interview the Shortlist,Employment Admin Handled,Not a Freelance Agency,Book a Hiring Consultation,Staffing Firm Since 2011,US Hours. One Dedicated Seat.,"Reviews, Offices, History",Skip Marketplace Guesswork,You Choose Who Joins,Agency. Not a Job Board.,Employers Hiring a Partner,"A virtual assistant agency and staffing partner — dedicated Filipino employee, not gigs.",We recruit and vet. You interview. Employment admin handled. Nobody starts until you pick.,"Looking for an agency, not a marketplace? Book a hiring consultation. Employers only.",US offices and a Philippines hub. Reviews and history you can check. One seat. Your hours.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us · do not mix with 02
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,Staffing_Agency_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,staffing,partner,Remote Staffing Partner,Dedicated Filipino Employee,We Recruit and Vet,You Interview. You Decide.,Employment Admin Handled,Not a Temp Marketplace,Book a Hiring Consultation,Staffing Partner Since 2011,US Hours. Philippines Staff.,Offices You Can Verify,Skip Freelance Staffing,One Person. Your Workflow.,Reviews and Real History,Employers Hiring Remote Staff,You Keep the Hire Decision,Remote staffing partner for US teams. Dedicated Filipino employee — not temps or gigs.,We recruit and vet. You interview the shortlist. We handle employment admin and stay on.,"Not Upwork and not a temp agency. One dedicated seat on your hours, matched to the role.","Book a hiring consultation. Employers only. Offices, reviews, and history since 2011.",,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us · do not mix with 02
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,VA_Agency_Firm_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,firm,hire,Virtual Assistant Firm,"Staffing Partner, Not Gigs",Dedicated Filipino Employee,We Recruit and Vet,You Interview Finalists,Employment Admin Handled,Book a Hiring Consultation,Firm. Not a Marketplace.,Staffing Since 2011,US Employers. Not Seekers.,One Seat. Your Company.,Offices and Real Reviews,Skip Freelance VA Apps,You Choose Who Joins,Philippines Staff. US Hours.,"A virtual assistant firm for US employers — dedicated Filipino employee, not a gig app.",We recruit and vet. You interview. Employment admin handled. Nobody starts until you pick.,Agency and firm searches stay on the hub. Book a hiring consultation. Employers only.,"Serving businesses since 2011. Offices, reviews, history — not a freelance board.",,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · provider · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,hire,Hire a Bookkeeper,Invoices Stacking Up?,Dedicated Bookkeeper Seat,Filipino Bookkeeper Hire,On Your US Hours,We Recruit and Vet,You Interview First,Books Falling Behind?,Book a Hiring Consultation,Not a Freelance Bookkeeper,Reconcile Without the Pile,Dedicated Books Teammate,You Choose Who Joins,Employment Admin Handled,US Teams Hiring Books Help,Invoices stacking up? Hire a dedicated Filipino bookkeeper on your US hours — not a gig.,We recruit and vet. You interview. Reconciliations and routine reporting leave your desk.,Book a hiring consultation. The form already has bookkeeping selected. Employers only.,One dedicated books teammate. You pick who joins. We handle employment admin after yes.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us/bookkeeping · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Recruitment_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/recruitment,recruit,hire,Hire Recruiting Support,Hiring Slowing You Down?,Dedicated Recruiting Seat,Filipino Recruiting Hire,On Your US Hours,We Recruit and Vet,You Interview First,Screens Without the Chase,Book a Hiring Consultation,Not Freelance Recruiters,Sourcing Help You Keep,Interview Scheduling Help,You Choose Who Joins,Employment Admin Handled,US TA Teams Hiring Help,Hiring slowing you down? Hire dedicated Filipino recruiting support.,We recruit and vet. You interview. One recruiting teammate on your US hours.,Book a hiring consultation. This page is for a recruitment seat — not a generic VA search.,You pick who joins. We handle employment admin. Employers hiring recruiting help only.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us/recruitment · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Digital_Marketing_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,marketing,hire,Hire a Marketer,Campaigns Stalling Out?,Dedicated Marketing Seat,Filipino Marketer Hire,On Your US Hours,We Recruit and Vet,You Interview First,Reporting Still On You?,Book a Hiring Consultation,Not a Freelance Marketer,Campaigns Need an Owner,Content Ops That Move,You Choose Who Joins,Employment Admin Handled,US Brands Hiring Marketing,Campaigns stalling? Hire a dedicated Filipino marketer on your US hours — not a freelance.,"We recruit and vet. You interview. Campaigns, reporting, and content ops get an owner.",Book a hiring consultation. Digital marketing is already selected in the form.,One dedicated marketing teammate. You pick who joins. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us/digital-marketing · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Appointment_Setter_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,setter,Hire an Appointment Setter,Calendar Staying Empty?,Dedicated Setter Seat,Filipino Appointment Setter,On Your US Hours,We Recruit and Vet,You Interview First,Outreach Without the Chase,Book a Hiring Consultation,Not a Freelance Setter,Lists and Follow-Ups Owned,Sales Support You Keep,You Choose Who Joins,Employment Admin Handled,US Sales Teams Hiring,Calendar staying empty? Hire a dedicated Filipino appointment setter on your US hours.,"We recruit and vet. You interview. Lists, outreach support, and follow-ups get an owner.",Book a hiring consultation. Lands on the sales page with the role ready in the form.,Not a freelance setter. One dedicated teammate. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 2 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/us/sales · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Social_Media_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/social-media,social,seat,Hire Social Media Staff,Channels Going Quiet?,Dedicated Social Seat,Filipino Social Teammate,On Your US Hours,We Recruit and Vet,You Interview First,Scheduling and Community,Book a Hiring Consultation,Not a Freelance Poster,Channels Stay Active,One Owner. Your Brand.,You Choose Who Joins,Employment Admin Handled,US Brands Hiring Social,Channels going quiet? Hire a dedicated Filipino social teammate on your US hours.,"We recruit and vet. You interview. Scheduling, replies, and assets get one owner.",Book a hiring consultation. Role page — not a generic VA dump. Employers only.,Not a freelance poster. One dedicated social seat. You pick. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 1 enabled now — keep this Paused until George Enables · Final URL stays https://www.virtualcoworker.app/us/social-media · do not mix with 02
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Customer_Service_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,support,outsource,Hire Customer Support Staff,Tickets Piling Up?,Dedicated Support Seat,Filipino Support Hire,On Your US Hours,We Recruit and Vet,You Interview First,Chat and Follow-Through,Book a Hiring Consultation,Not Freelance Support,Customers Wait Less,One Owner. Your Queue.,You Choose Who Joins,Employment Admin Handled,US Teams Hiring Support,Tickets piling up? Hire dedicated Filipino customer support staff on your US hours.,"We recruit and vet. You interview. Tickets, chat, and follow-through get an owner.",Book a hiring consultation. Customer service is already selected in the form.,Not freelance support. One dedicated seat. You pick who joins. We handle employment admin.,,,,,,,,VC_AUG20_CHALLENGER_2026-08-20,VC_AUG20_CHALLENGER_2026-08-20 · after file 02 · role · Paused · 3-ad cap: paused extra — do not Enable a 4th · Final URL stays https://www.virtualcoworker.app/us/customer-service · do not mix with 02
