Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
573-539-1940,Campaign,VC_AU_S_COMP,Search,Paused,25,Daily,Maximize Clicks,Google Search,en,Australia,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=stage1-v7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · new Paused competitor campaign · do not enable · do not revive LK/PM competitor campaigns
573-539-1940,Ad group,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · 24x7 Direct · Exact only · Paused · Final URL=/au
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,,,24 7 direct,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · 24 7 direct
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,,,24 x 7 direct,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · 24 x 7 direct
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,,,24x7 direct,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · 24x7 direct
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,,,24x7direct,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · 24x7direct
573-539-1940,Ad,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_24x7_Direct,Paused,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/au,hire,staff,You Interview the Shortlist,"Dedicated Staff, Not a Bench",Employers Only Since 2011,Work Australian Hours,Not a Freelance Marketplace,Book a Hiring Consultation,Hire a VA for Your Team,We Recruit. You Interview.,Dedicated Remote Staff,You Choose Who Joins,Filipino VA for Business,Hire Dedicated Remote Staff,Staff on Australian Hours,Not a Rotating Bench,Vetted Hiring Shortlist,"You interview the shortlist. Dedicated teammate, not a rotating bench.",Hire a VA who works Australian hours. Not a freelance marketplace.,Employers only since 2011. We recruit and vet. You interview and choose.,"Book a hiring consultation. Dedicated remote staff, not a rotating bench.",,,,,,,,VC_COMP_2026-08-19 · RSA · no competitor names · no DKI · Final URL=/au
573-539-1940,Ad group,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Outsourcing_Angel,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Outsourcing Angel · Exact only · Paused · Final URL=/au
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Outsourcing_Angel,,,outsourcing angel,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · outsourcing angel
573-539-1940,Keyword,VC_AU_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Outsourcing_Angel,,,outsourcing angel va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · outsourcing angel va
