Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Campaign,VC_US_S_COMP,Search,Paused,25,Daily,Maximize Clicks,Google Search,en,United States,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device},,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · new Paused competitor campaign · do not enable · do not revive LK/PM competitor campaigns
496-715-1855,Ad group,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_VirtualStaff,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · VirtualStaff · Exact only · Paused · Final URL=/us
496-715-1855,Keyword,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_VirtualStaff,,,virtualstaff,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · virtualstaff
496-715-1855,Keyword,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_VirtualStaff,,,virtualstaff ph,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · virtualstaff ph
496-715-1855,Ad,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_VirtualStaff,Paused,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,hire,staff,You Interview the Shortlist,"Dedicated Staff, Not a Bench",Employers Only Since 2011,Work Your US Hours,Not a Freelance Marketplace,Book a Hiring Consultation,Hire a Virtual Assistant,We Recruit. You Interview.,Dedicated Remote Staff,You Choose Who Joins,Filipino Staff for Business,Hire Dedicated Remote Staff,Staff Who Work US Hours,Not a Rotating Bench,Vetted Hiring Shortlist,"You interview the shortlist. Dedicated teammate, not a rotating bench.",Hire a Virtual Assistant who works your US hours. Not a freelance marketplace.,Employers only since 2011. We recruit and vet. You interview and choose.,"Book a hiring consultation. Dedicated remote staff, not a rotating bench.",,,,,,,,VC_COMP_2026-08-19 · RSA · no competitor names · no DKI · Final URL=/us
496-715-1855,Ad group,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Rippling,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Rippling · Exact only · Paused · Final URL=/us
496-715-1855,Keyword,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Rippling,,,rippling philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · rippling philippines
496-715-1855,Keyword,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Rippling,,,rippling philippines inc,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · Exact · typed in ST · rippling philippines inc
496-715-1855,Ad,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_Rippling,Paused,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,hire,staff,You Interview the Shortlist,"Dedicated Staff, Not a Bench",Employers Only Since 2011,Work Your US Hours,Not a Freelance Marketplace,Book a Hiring Consultation,Hire a Virtual Assistant,We Recruit. You Interview.,Dedicated Remote Staff,You Choose Who Joins,Filipino Staff for Business,Hire Dedicated Remote Staff,Staff Who Work US Hours,Not a Rotating Bench,Vetted Hiring Shortlist,"You interview the shortlist. Dedicated teammate, not a rotating bench.",Hire a Virtual Assistant who works your US hours. Not a freelance marketplace.,Employers only since 2011. We recruit and vet. You interview and choose.,"Book a hiring consultation. Dedicated remote staff, not a rotating bench.",,,,,,,,VC_COMP_2026-08-19 · RSA · no competitor names · no DKI · Final URL=/us
496-715-1855,Ad group,VC_US_S_COMP,Search,Paused,,Daily,Maximize Clicks,Google Search,,,,,,Comp_iPloy,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_COMP_2026-08-19 · iPloy · Exact only · Paused · Final URL=/us
