Account,Campaign,Keyword,Match type,Comment
573-539-1940,VC_AU_S_CORE,job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,salaries,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wage,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wages,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,career,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,careers,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,hiring me,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,i need a job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,looking for a job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,resume,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,cv,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,apply,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,application,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,employment,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,intern,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,internship,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,job description,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,job listings,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,job opening,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,job openings,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,vacancies,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,vacancy,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,work from home job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wfh job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,remote job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,remote jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,part time job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,full time job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,no experience,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,entry level,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,indeed,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,glassdoor,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,jobstreet,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
