Account,Campaign,Keyword,Match type,Comment
573-539-1940,VC_AU_S_QUIZ,job,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,jobs,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,salary,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,salaries,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,wage,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,wages,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,career,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,careers,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,hiring me,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,i need a job,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,looking for a job,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,resume,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,cv,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,apply,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,application,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
573-539-1940,VC_AU_S_QUIZ,employment,Broad,Quiz campaign neg · cloned from VC_AU_S_CORE Stage1 list · MMC only
