Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Campaign,VC_US_S_QUIZ,Search,Paused,40,Daily,Maximize Clicks,Google Search,en,United States,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=stage1-v8&lp_variant=quiz,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz LP exploratory stage1-v8 lp_variant=quiz · Paused · Brand deferred · Final URL=/us/quiz or /au/quiz · Enable only when George says · Not a controlled A/B test
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · quiz-unique exploratory (not in CORE/ROLES Exact) · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what kind of virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what type of virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what va do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,which virtual assistant do i need,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,types of virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,kinds of virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,virtual assistant quiz,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,hiring quiz virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,what kind of va should i hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Ad,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,What_Kind_Of_VA,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/quiz,quiz,what-va,Find the right VA,Take the employer quiz,Employer hiring quiz,What kind of VA do you need?,Who should you hire first?,A few taps. Clear answer.,"Quiz: admin, sales, books",Find your first hire,For US businesses,Dedicated Filipino VA,Virtual assistant quiz,See which seat to hire,Filipino VA for SMBs,Shortlist after the quiz,Talk after the quiz,Take the employer quiz. We’ll name the seat that buys back your week.,Hiring quiz for US businesses. Dedicated Filipino teammates — not a job board.,"Admin, sales, books, support, or marketing? A few taps. A clear first hire.",You interview the shortlist. Nobody starts until you say yes. Free chat after the quiz.,,,,,,,,Quiz RSA · exploratory employer quiz · Paused · not hire-specialist hard sell
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · exploratory how-to unique vs CORE Hire_VA_PH Exact · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,hiring a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,where to hire a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,how to hire filipino va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,should i hire a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,do i need a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,how to choose a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,help me hire a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Ad,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Hire_VA_Explore,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/quiz,quiz,hire,Find the right VA,Take the employer quiz,Employer hiring quiz,What kind of VA do you need?,Who should you hire first?,A few taps. Clear answer.,"Quiz: admin, sales, books",Find your first hire,For US businesses,Dedicated Filipino VA,Virtual assistant quiz,See which seat to hire,Filipino VA for SMBs,Shortlist after the quiz,Talk after the quiz,Take the employer quiz. We’ll name the seat that buys back your week.,Hiring quiz for US businesses. Dedicated Filipino teammates — not a job board.,"Admin, sales, books, support, or marketing? A few taps. A clear first hire.",You interview the shortlist. Nobody starts until you say yes. Free chat after the quiz.,,,,,,,,Quiz RSA · exploratory employer quiz · Paused · not hire-specialist hard sell
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · SMB/startup Exact themes unique vs ROLES · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,virtual assistant for small business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,virtual assistant small business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,hire virtual assistant small business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,virtual assistant for small businesses,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,va for small business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,virtual assistant for startup,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,virtual assistant for startups,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,small business virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Ad,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,VA_Small_Business,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/quiz,quiz,smb,Find the right VA,Take the employer quiz,Employer hiring quiz,What kind of VA do you need?,Who should you hire first?,A few taps. Clear answer.,"Quiz: admin, sales, books",Find your first hire,For US businesses,Dedicated Filipino VA,Virtual assistant quiz,See which seat to hire,Filipino VA for SMBs,Shortlist after the quiz,Talk after the quiz,Take the employer quiz. We’ll name the seat that buys back your week.,Hiring quiz for US businesses. Dedicated Filipino teammates — not a job board.,"Admin, sales, books, support, or marketing? A few taps. A clear first hire.",You interview the shortlist. Nobody starts until you say yes. Free chat after the quiz.,,,,,,,,Quiz RSA · exploratory employer quiz · Paused · not hire-specialist hard sell
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · admin exploratory unique vs ROLES Administration_EA_PH Exact · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,hire administrative assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,hire admin assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,virtual assistant for admin,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,administrative virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,virtual executive assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,admin virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Ad,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Admin_VA_Quiz,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/quiz,quiz,admin,Find the right VA,Take the employer quiz,Employer hiring quiz,What kind of VA do you need?,Who should you hire first?,A few taps. Clear answer.,"Quiz: admin, sales, books",Find your first hire,For US businesses,Dedicated Filipino VA,Virtual assistant quiz,See which seat to hire,Filipino VA for SMBs,Shortlist after the quiz,Talk after the quiz,Take the employer quiz. We’ll name the seat that buys back your week.,Hiring quiz for US businesses. Dedicated Filipino teammates — not a job board.,"Admin, sales, books, support, or marketing? A few taps. A clear first hire.",You interview the shortlist. Nobody starts until you say yes. Free chat after the quiz.,,,,,,,,Quiz RSA · exploratory employer quiz · Paused · not hire-specialist hard sell
496-715-1855,Ad group,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz AG · books exploratory unique vs ROLES Bookkeeping_Hire_PH Exact · Exact · Paused
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,,,hire virtual bookkeeper,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,,,virtual bookkeeper,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,,,hire bookkeeper,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Keyword,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,,,outsource bookkeeping,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiz Exact · unique/exploratory vs CORE/ROLES · Paused until Enable
496-715-1855,Ad,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,Bookkeeping_VA_Quiz,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/quiz,quiz,books,Find the right VA,Take the employer quiz,Employer hiring quiz,What kind of VA do you need?,Who should you hire first?,A few taps. Clear answer.,"Quiz: admin, sales, books",Find your first hire,For US businesses,Dedicated Filipino VA,Virtual assistant quiz,See which seat to hire,Filipino VA for SMBs,Shortlist after the quiz,Talk after the quiz,Take the employer quiz. We’ll name the seat that buys back your week.,Hiring quiz for US businesses. Dedicated Filipino teammates — not a job board.,"Admin, sales, books, support, or marketing? A few taps. A clear first hire.",You interview the shortlist. Nobody starts until you say yes. Free chat after the quiz.,,,,,,,,Quiz RSA · exploratory employer quiz · Paused · not hire-specialist hard sell
496-715-1855,Sitelink,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/us#gate,,,,,,,,,,,,,,,,,,,,,,Tell Us Who You Need,Employer hiring path,Form for businesses,,,,,Quiz sitelink · microsite only — no WP · Paused with campaign
496-715-1855,Sitelink,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/how-it-works?market=us,,,,,,,,,,,,,,,,,,,,,,How Hiring Works,"Recruit, vet, shortlist",You interview talent,,,,,Quiz sitelink · microsite only — no WP · Paused with campaign
496-715-1855,Sitelink,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/services?market=us,,,,,,,,,,,,,,,,,,,,,,Hire by Role,"Admin, books, marketing",Philippines staff seats,,,,,Quiz sitelink · microsite only — no WP · Paused with campaign
496-715-1855,Sitelink,VC_US_S_QUIZ,Search,Paused,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/us/administrative-support,,,,,,,,,,,,,,,,,,,,,,Admin Support Hire,EA / admin category LP,Role-specific landing,,,,,Quiz sitelink · microsite only — no WP · Paused with campaign
