Account,Campaign,Keyword,Match type,Comment
496-715-1855,VC_US_S_CORE,cold calling,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,cold caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,cold callers,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,cold call,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate isa,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,realtor isa,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate cold calling,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate cold caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate appointment setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,realtor appointment setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,appointment setting for real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,realtor setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,inside sales agent real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,expired listing caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,expired listings caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,fsbo caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,fsbo cold,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,telemarketing,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,telemarketer,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,dialer,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,power dialer,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,auto dialer,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,pay per lead,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,pay per lead real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,cost per lead,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,cost per acquisition,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,commission based,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,commission only,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,buy real estate leads,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,purchase real estate leads,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate leads for sale,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate lead company,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,real estate lead service,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_CORE,realtor lead service,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cold calling,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cold caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cold callers,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cold call,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate isa,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,realtor isa,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate cold calling,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate cold caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate appointment setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,realtor appointment setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,appointment setting for real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,realtor setter,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,inside sales agent real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,expired listing caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,expired listings caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,fsbo caller,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,fsbo cold,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,telemarketing,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,telemarketer,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,dialer,Broad,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,power dialer,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,auto dialer,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,pay per lead,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,pay per lead real estate,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cost per lead,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,cost per acquisition,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,commission based,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,commission only,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,buy real estate leads,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,purchase real estate leads,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate leads for sale,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate lead company,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,real estate lead service,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
496-715-1855,VC_US_S_ROLES,realtor lead service,Phrase,RE targeting 2026-08-19 · safe · filter cold-call/ISA/PPL · do not block property/lead-gen hire · George import after review
