Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad group,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLES proposed hub — RE_Ops_Hire_PH · Paused · /us/real-estate · do not enable until George reviews
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,hire assistant property manager,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,assistant property manager philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,hire property management assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,property management assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,hire guest relations specialist,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,guest relations specialist philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,guest relations virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,hire real estate bookkeeper,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
496-715-1855,Keyword,VC_US_S_ROLES,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,RE_Ops_Hire_PH,Paused,,real estate bookkeeper philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE targeting 2026-08-19 · Exact · Paused · supported ops seat · not generic Real Estate VA
