Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,,Hire_VA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,hire,va,Your Week Is Full,Dedicated Filipino VA,On Your US Hours,You Interview. You Pick.,We Handle Payroll,Free Hiring Consult,Admin VA ~$8 an Hour,They Want This Work,Not Another SaaS Tool,Talk to a Specialist,We Recruit. You Decide.,Filipino Teammate Seat,Hire Without Payroll Drag,Nobody Starts Till You Say,{KeyWord:Hire a VA},You don't need another tool. You need a dedicated Filipino teammate on your hours.,Free consult. We recruit. You interview. We handle payroll and paperwork.,Typical admin VA ~$8/hr. Dedicated seat — not a freelance marketplace.,Talk to a specialist. No obligation. You pick who joins your business.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,,Offshore_VA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,offshore,ph,Offshore Filipino Team,Dedicated PH Teammate,On Your Hours Offshore,You Interview Finalists,We Handle PH Payroll,Free Offshore Consult,Admin Capacity ~$8/hr,Not Freelance Offshore,They Watch Your Back,Talk Offshore Staffing,We Find Them. You Pick.,US Hours From PH,Hire Offshore Without Chaos,Dedicated Not Rotating,{KeyWord:Offshore VA},"Dedicated Filipino teammates offshore — on your hours, not rotating freelancers.",Free consult. We recruit in the Philippines. You interview. We handle payroll.,Typical admin VA ~$8/hr. Serious capacity without US payroll weight.,You pick who joins. Nobody starts until you say yes.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,,Staffing_Agency_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,staffing,agency,Remote Staffing That Fits,Dedicated Filipino Staff,Agency Hire. You Pick.,On Your Business Hours,We Handle the Payroll,Free Staffing Consult,Admin Seats ~$8 an Hour,Not a Gig Staffing App,You Interview the Team,Talk to a Specialist,PH Staffing for US Ops,We Find. You Choose.,Staff Without US Overhead,Employers Only Staffing,{KeyWord:Virtual Staffing Agency},A staffing agency path: dedicated Filipino teammates for US businesses.,Free consult. We recruit and screen. You interview. We handle payroll.,"Typical admin capacity ~$8/hr — dedicated seats, not freelance gigs.",You pick who joins your team. No obligation from the first conversation.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,,VA_Agency_Firm_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,va,agency,VA Agency. You Decide.,Dedicated Filipino VAs,On Your Hours Daily,You Interview Each VA,Payroll Handled for You,Free VA Agency Consult,Admin VA ~$8 an Hour,Firm Not Marketplace,They Want the Seat,Talk VA Staffing,We Recruit. You Pick.,US Hours VA Agency,Hire a VA Without DIY,Clear Your Week Fast,{KeyWord:Filipino VA Agency},Looking for a VA agency? Dedicated Filipino teammates for US work.,Free consult. We recruit and screen. You interview before anyone joins.,Typical admin VA ~$8/hr. Agency staffing — not freelance task gigs.,You decide who joins. Employers only. No obligation from a first talk.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,,Virtual_Staff_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us,virtual,staff,Virtual Staff You Keep,Dedicated PH Teammates,On Your Clock Daily,You Interview Staff,We Handle Payroll,Free Staff Consult,Admin Staff ~$8/hr,Not Rotating Staff,Your Week Gets Lighter,Talk Virtual Staffing,We Find. You Hire.,Filipino Virtual Staff,Staff Without Headcount,Employers Hire Here,{KeyWord:Dedicated Virtual Staff},Hire Philippines virtual staff — dedicated teammates on your hours.,Free consult. We recruit. You interview. We handle payroll after you hire.,Typical admin staff ~$8/hr. Continuity — not rotating freelance gigs.,"You pick who joins your team. Businesses only, not a job board.",,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,marketing,hire,Your Marketing Is Stalled,Dedicated Filipino Marketer,On Your US Hours,You Interview Marketers,We Handle Payroll,Free Marketing Consult,Campaigns Stop Slipping,Not Freelance Marketing,You Pick the Marketer,Talk Marketing Hire,We Recruit. You Decide.,PH Digital Marketing VA,Keep the Machine Moving,Hire Marketing Capacity,{KeyWord:Digital Marketing VA},"Campaigns, reporting, and content ops stall without an owner. Hire dedicated help.",Free consult. We shortlist Filipino marketers. You interview before anyone joins.,Dedicated marketing seat on your hours — we handle payroll after you hire.,Strategists stay on judgment work. We recruit the day-to-day owner.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,outsource,mkt,Outsource Marketing PH,Dedicated Marketing Seat,On Your Hours Offshore,You Interview Then Hire,Payroll? We Handle It,Free Outsource Consult,Marketing Ops Continuity,Not Rotating Freelancers,Filipino Marketing Team,Talk Offshore Marketing,We Find Them. You Pick.,PH Marketing Capacity,Outsource Without Chaos,Keep Campaigns Moving,{KeyWord:Outsource Marketing},Outsource digital marketing support to a dedicated Filipino teammate.,Free consult. We shortlist. You interview. We handle payroll after you hire.,"Day-to-day campaign, content, and reporting capacity — you keep hire control.",Not a freelance bench. Dedicated marketing seat on your hours.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Social_Media_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/social-media,social,hire,Brand Going Quiet?,Dedicated Social VA,On Your Hours Social,You Interview SMM,We Handle Payroll,Free Social Consult,Channels Stay Active,Not Gig Social Posting,You Pick Your SMM,Talk Social Hire,Filipino Social Manager,Stop the Content Firefight,Hire Social Capacity,We Recruit. You Decide.,{KeyWord:Hire Social Manager},Posting and replies falling behind? Hire a dedicated Filipino social teammate.,Free consult. We shortlist. You interview before anyone joins your brand.,Dedicated social seat on your hours. We handle payroll after you hire.,Channels stay active without turning your week into a content firefight.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Social_Media_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/social-media,outsource,smm,Outsource Social to PH,Dedicated SMM Seat,On Your Brand Hours,You Interview Then Hire,Payroll Handled for You,Free SMM Consult,Posting Stops Falling Behind,Not Freelance Social,Filipino Social Seat,Talk Offshore Social,We Find. You Choose.,Community Replies Covered,Outsource Social Ops,Channels Don't Go Quiet,{KeyWord:Outsource Social},Outsource social media ops to a dedicated Filipino teammate — not gig posters.,Free consult. We recruit. You interview. We handle payroll after you hire.,"Scheduling, community replies, and asset coordination on your hours.",You pick who owns the channels. No obligation from the first conversation.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,ea,hire,Inbox Eating Your Week,Dedicated Filipino EA,On Your Admin Hours,You Interview Your EA,We Handle Payroll,Free Admin Consult,Admin VA ~$8 an Hour,Not a Freelance EA,Follow-Ups Actually Done,Talk Admin Hire,We Recruit. You Pick.,Hire a Filipino VA,Calendar Stops Slipping,They Learn Your Rhythm,{KeyWord:Hire Admin VA},"Inbox, scheduling, and follow-ups eating your week? Hire a dedicated Filipino EA.",Free consult. We recruit and vet. You interview. We handle payroll.,Typical admin VA ~$8/hr. Dedicated seat that learns your rhythms.,Your managers get time back. Nobody starts until you say yes.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
