Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,admin,hire,Inbox Eating Your Week?,Hire Executive Assistant,Dedicated Filipino Admin,On Your US Hours,You Interview. You Pick.,We Handle Payroll,Book a Free Strategy Call,Admin Around $8 an Hour,Calendar Stops Owning You,Not a Freelance Marketplace,They Learn How You Work,Follow-Ups Actually Done,Your Managers Get Time Back,Philippines Admin Support,Skip the Marketplace Hunt,Inbox eating your week. Hire a dedicated Filipino executive assistant.,Book a free strategy call. We recruit. You interview. We handle payroll.,"Typical admin around $8 an hour. A dedicated teammate, not a freelance marketplace.",You pick who joins. Nobody starts until you say yes.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=executive_assistant
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,assistant,philippines,Hire a Virtual Assistant,Dedicated Filipino Teammate,Administrative Support Hire,On Your Business Hours,You Interview Each Person,Payroll Handled for You,Book a Free Strategy Call,Admin About $8 an Hour,Not a Gig Marketplace,Still Doing Admin Yourself?,We Recruit. You Decide.,Filipino Admin for US Work,One Person You Can Keep,Clear Admin Off Your Desk,Talk Through the Role,Still doing the admin yourself. A dedicated Filipino virtual assistant on your hours.,Free strategy call. We recruit and screen. You interview. We handle payroll.,Typical admin around $8 an hour. One person you keep - not rotating freelancers.,You meet them on video. Nobody starts until you say yes. Employers only.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=virtual_assistant
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,accounting,hire,Month-End Piling Up?,Dedicated Accounting Seat,Filipino Accounting Support,On Your US Hours,You Interview. You Pick.,We Handle Payroll,Book a Free Strategy Call,Reporting Prep Support,Not Freelance Accounting,You Pick Who Joins,We Recruit. You Decide.,Keep Month-End Moving,Extra Close Capacity,Not Licensed Advice,Talk Through the Role,Month-end piling up. Hire dedicated Filipino accounting support on your hours.,Book a free strategy call. We shortlist. You interview. We handle payroll.,"Extra capacity for transactions, schedules, and reporting prep - not licensed advice.",You pick who joins. Nobody starts until you say yes.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=accounting_hire
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,outsource,finance,Outsource Accounting Work,Dedicated Finance Seat,On Your Close Calendar,You Interview Then Hire,Payroll Handled for You,Book a Free Strategy Call,Filipino Accounting Help,Not Rotating Freelancers,We Find Them. You Pick.,Keep Month-End Moving,Outsource Recurring Work,Dedicated Not a Bench,On Your US Hours,You Keep Hire Control,Talk Offshore Accounting,Outsource recurring accounting support to a dedicated Filipino teammate.,Free strategy call. We shortlist. You interview. We handle payroll after you hire.,"Help with transactions, schedules, and reporting prep - not licensed advice.",Dedicated seat continuity. You keep hire control before anyone starts.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=accounting_outsource
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,hire,Invoices Stacking Up?,Dedicated Filipino Bookkeeper,On Your US Hours,You Interview. You Pick.,We Handle Payroll,Book a Free Strategy Call,Reconciliations Covered,Not Freelance Bookkeeping,You Pick Your Bookkeeper,We Recruit. You Decide.,Day-to-Day Books Owner,Hire Bookkeeping Capacity,Your Finance Owner Breathes,One Person for the Books,Skip the Marketplace Hunt,Invoices stacking up. Hire a dedicated Filipino bookkeeper on your hours.,Book a free strategy call. We recruit. You interview. We handle payroll.,A dedicated books seat owns day-to-day support - not a freelance marketplace.,Your finance owner spends less time catching up. You pick who joins.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=bookkeeping_hire
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,outsource,books,Outsource the Bookkeeping,Dedicated Books Seat,On Your Finance Hours,You Interview Then Hire,Payroll Handled for You,Book a Free Strategy Call,Invoices Stop Waiting,Not Rotating Bookkeepers,Filipino Books Support,We Find. You Choose.,Outsource Routine Books,Dedicated Not Freelance,On Your US Hours,You Keep Hire Control,Talk Through the Books,Outsource day-to-day bookkeeping to a dedicated Filipino teammate.,Free strategy call. We shortlist. You interview. We handle payroll after you hire.,"Invoices, records, and reconciliations stop stacking on your desk.","Dedicated books seat - continuity, not rotating freelance help.",,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=bookkeeping_outsource
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,support,hire,Customers Waiting Too Long,Dedicated Support Teammate,On Your Support Hours,You Interview. You Pick.,We Handle Payroll,Book a Free Strategy Call,Queue Stops Building,Not Freelance Support,You Pick Who Answers,Filipino Support Seat,Brand Sounds Looked After,Hire Support Capacity,We Recruit. You Decide.,On Your US Hours,Tickets Stop Piling Up,Customers waiting too long? Add a dedicated Filipino support seat on your hours.,Book a free strategy call. We shortlist. You interview before anyone joins.,"Dedicated support for inquiries, tickets, and status updates. We handle payroll.",More consistent customer communication. You pick who answers.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=customer_service_hire
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,outsource,support,Outsource Customer Support,Dedicated Support Seat,On Your Customer Hours,You Interview Then Hire,Payroll Handled for You,Book a Free Strategy Call,Tickets Stop Piling Up,Not Rotating Support Gigs,Filipino Support Team,We Find Them. You Pick.,Outsource the Queue,Coverage Without Chaos,On Your US Hours,You Keep Hire Control,Questions Get Answered,Outsource customer service to a dedicated Filipino teammate on your hours.,Free strategy call. We recruit. You interview. We handle payroll after you hire.,"Inquiries, tickets, and status updates stop sitting unanswered.",Dedicated support seat - not rotating freelance gigs. You pick who joins.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=customer_service_outsource
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,marketing,hire,Your Marketing Is Stalled,Dedicated Filipino Marketer,On Your US Hours,You Interview Marketers,We Handle Payroll,Book a Free Strategy Call,Campaigns Stop Slipping,Not Freelance Marketing,You Pick the Marketer,We Recruit. You Decide.,Keep the Machine Moving,Hire Marketing Capacity,Day-to-Day Marketing Owner,Strategists Stay on Strategy,Nobody Starts Till You Say,"Campaigns, reporting, and content work stall without an owner. Hire dedicated help.",Book a free strategy call. We shortlist Filipino marketers. You interview first.,Dedicated marketing seat on your hours - we handle payroll after you hire.,Strategists stay on judgment work. We recruit the day-to-day owner.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=digital_marketing_hire
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,outsource,marketing,Outsource Marketing Work,Dedicated Marketing Seat,On Your Hours Offshore,You Interview Then Hire,Payroll Handled for You,Book a Free Strategy Call,Marketing Work Continuity,Not Rotating Freelancers,Filipino Marketing Team,We Find Them. You Pick.,Keep Campaigns Moving,Outsource Without Chaos,On Your US Hours,You Keep Hire Control,Content Stops Stalling,Outsource digital marketing support to a dedicated Filipino teammate.,Free strategy call. We shortlist. You interview. We handle payroll after you hire.,"Day-to-day campaign, content, and reporting capacity - you keep hire control.",Not a freelance bench. Dedicated marketing seat on your hours.,,,,,,,,Human RSA add 2026-08-12; Paused; Campaign Status blank (live-US-safe); no abbreviations; no DKI; angle=digital_marketing_outsource
