Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Hire_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au,hire,va,Hire a Virtual Assistant,Hire Help for Your Team,Dedicated Filipino Staff,You Interview. You Decide.,Tell Us Who You Need,Not a Freelance Marketplace,How to Hire a VA,Find Skilled Remote Talent,We Shortlist. You Choose.,For Australian Businesses,Spend Less Time Hiring,"A Named Teammate, Not Tasks",Get the Seat You Actually Need,Add Support Without the Drag,Hire Dedicated Remote Staff,Tell us who you need. We recruit and screen. You interview before anyone starts.,Hire a dedicated virtual assistant in the Philippines for Australian hours.,"A staffing company, not a freelance app. You keep the hire decision.",For Australian businesses adding staff — not for people looking for work.,,,,,,,,RSA Challenger A_intent · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU hire-intent challenger. Replaces robotic 'Hire Virtual Assistant PH' incumbents.
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Hire_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au,staffing,hire,Staffing Company Since 2011,Hire Proven Remote Talent,Screened People. You Decide.,"Trusted Hiring, Less Friction",You Meet Finalists First,"Dedicated Seat, Not a Bench",We Handle Payroll After Hire,Your Hours. One Named Person.,Talk to Our Staffing Team,Real Shortlist. Real Company.,Skip Sorting Applicants,"A Partner, Not a Platform",A Sydney Office Behind You,Build the Team With Less Drag,Growing Teams Hire This Way,Virtual Coworker has recruited dedicated Filipino staff for businesses since 2011.,"We shortlist. You interview. After you hire, we handle payroll and stay on support.",Sydney and US offices. Philippines recruiting. Not a freelance marketplace.,Tell us the seat. We'll help you find the person. Nobody starts until you say yes.,,,,,,,,"RSA Challenger B_trust · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU trust challenger. Same process proof, quieter B2B tone."
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Offshore_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au,philippines,va,Philippines Virtual Assistant,Filipino Virtual Assistants,Hire Remote Staff Overseas,Virtual Assistant Philippines,Dedicated Philippines Staff,Offshore Help You Interview,One Person. Your Hours.,Not Rotating Freelancers,Outsource the Seat. You Pick.,Remote Talent for AU Teams,Tell Us the Role You Need,"Staffing, Not a Marketplace",Hire Filipino Remote Support,A Dedicated Offshore Seat,Philippines Staff on AU Hours,Hire a dedicated virtual assistant in the Philippines who works Australian hours.,We recruit and vet. You interview. Nobody starts without your yes.,Offshore help with a named person — not a rotating freelance bench.,Tell us the role. We shortlist. You decide who joins.,,,,,,,,"RSA Challenger A_intent · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU offshore intent. Same winning PH/Filipino terms, Australian hours."
573-539-1940,Ad,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Offshore_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au,offshore,trust,Recruited Since 2011,Screened Filipino Talent,You Interview the Shortlist,Established Staffing Partner,"Dedicated, Not Freelance",We Employ Them After You Hire,Trusted Offshore Hiring,Reduce Hiring Friction,Named Teammate on Your Hours,A Company Behind the Hire,Talk Through the Role First,Not a Freelance Marketplace,"Scale the Team, Not Overhead",Philippines Staff You Choose,Sydney Office. Real Support.,An established staffing company. Philippines recruiting. You keep the hire decision.,Screened Filipino talent for Australian hours. You meet them before they join.,"After you hire, we employ them and handle payroll. You manage the work.","For Australian businesses that want a person, not a gig listing.",,,,,,,,RSA Challenger B_trust · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU trust challenger for robotic offshore incumbents.
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Social_Media_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/social-media,social,hire,Hire a Social Media Manager,Instagram Scheduling Support,LinkedIn Outreach Support,Community Management Hire,Social Posting and Replies,Hire Social Media Staff,You Interview Social Finalists,Content Calendar Ownership,Facebook and Instagram Help,LinkedIn Inbox and Follow-Up,Tell Us the Channels You Run,Dedicated Social Seat,Get a Social Shortlist,Reporting on What You Posted,Not Random Freelance Posts,"Hire a dedicated social media manager for scheduling, replies, and community work.","Instagram, Facebook, LinkedIn — tell us the channels. You interview the shortlist.",A named person owns the calendar so posting does not fall behind.,For Australian businesses. Not a caption marketplace and not a job board.,,,,,,,,"RSA Challenger A_intent · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU social rescue. Same role language as US, Australian employer frame."
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Social_Media_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/social-media,social,team,Screened Social Media Talent,Trusted Social Hiring,You Meet Them Before They Post,Dedicated Community Manager,Staffing for Social Channels,We Employ Them After You Hire,"Consistent Posting, Your Hours",Talk Through the Social Brief,Growing Teams Add Social Help,Not a Caption Marketplace,"Instagram, LinkedIn, or Both",Real Recruiting for Social,Engagement Without the Chase,A Partner for Channel Ops,Your Voice. A Named Person.,"We recruit social media staff. You interview. After you hire, we handle payroll.","Scheduling, engagement, and reporting owned by someone you have met.",Staffing since 2011. Dedicated seat on Australian hours.,"Tell us Instagram, LinkedIn, or the mix. We'll help you find the person.",,,,,,,,RSA Challenger B_trust · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU social trust challenger.
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Administration_EA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/administrative-support,admin,hire,Hire an Executive Assistant,Hire Admin Support Staff,Inbox and Calendar Help,Dedicated Filipino Assistant,Virtual Assistant for Admin,Follow-Ups That Don't Slip,You Interview Your Assistant,"Documents, Scheduling, Inbox",Tell Us the Admin Seat,"A Named Assistant, Your Hours",Not a Vague VA Promise,Get an Admin Shortlist,Hire Help for the Inbox,Remote Executive Support,Leadership Hours Back to Work,"Hire a dedicated Filipino assistant for inbox, calendar, documents, and follow-ups.",Clear admin work on Australian hours. You interview before anyone starts.,Tell us whether you need an EA or day-to-day admin. We recruit for that seat.,A named person so leadership time goes back to customers and decisions.,,,,,,,,RSA Challenger A_intent · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU admin rescue. Same inbox/calendar message as the live role page.
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Administration_EA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/administrative-support,ea,team,Screened Admin Talent,Trusted Assistant Hiring,You Meet Them Before Day One,Dedicated Inbox Owner,Staffing for EA and Admin,We Employ After You Hire,"Clear Admin Work, Named Person",Talk Through the Admin Brief,Growing Teams Hire Assistants,Not Marketplace Admin Tasks,Calendar That Doesn't Bounce,Real Recruiting Since 2011,Skip Sorting EA Applicants,A Partner for Your Ops Load,Reduce the Admin Drag,We recruit and vet admin and EA talent. You interview. We stay on after you hire.,"Staffing since 2011 for Australian teams that want a person, not task-marketplace admin.",Inbox and calendar owned by someone you have met — not a shared freelancer.,Tell us the day-to-day. We'll help you find the assistant.,,,,,,,,RSA Challenger B_trust · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU admin trust challenger.
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Bookkeeping_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/bookkeeping,bookkeeping,hire,Hire a Philippines Bookkeeper,Hire a Dedicated Bookkeeper,Bookkeeping Support for Hire,"Invoices, Bills, Reconciles",Xero or QuickBooks Support,Day-to-Day Books Support,You Interview the Bookkeeper,Not a Books Freelance Bench,Tell Us Your Books Stack,Dedicated Books Seat,Month-End Without the Scramble,"Remote Bookkeeper, Your Hours","Hire Books Help, Keep Your CPA",Get a Bookkeeping Shortlist,Routine Reconciles Covered,"Hire a dedicated Filipino bookkeeper for invoices, records, and reconciliations.","Tell us Xero, QuickBooks, or what you use. You interview before anyone starts.",Day-to-day books support on Australian hours — not licensed accounting advice.,We recruit against the seat. You keep your accountant for judgment work.,,,,,,,,RSA Challenger A_intent · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU books intent. Xero first — Australian default.
573-539-1940,Ad,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Bookkeeping_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/au/bookkeeping,books,team,Screened Bookkeeping Talent,Staffing for Your Books Seat,You Meet Them First,Trusted Books Support,Recruited for Your Tools,We Handle Payroll After Hire,A Person Who Owns the Books,"Support, Not Licensed Advice",Talk to Our Staffing Team,Growing Teams Add Books Help,Keep Your CPA. Add Capacity.,Real Company Behind the Seat,Skip the Books Freelance Hunt,Dedicated Bookkeeper Hiring,Your Hours. Named Bookkeeper.,We recruit and vet bookkeeping support. You interview. We handle payroll after you hire.,A staffing company since 2011 — not a rotating freelance books bench.,One dedicated person on Australian hours so month-end is not a scramble.,Tell us the tools and the close rhythm. We'll help you find the seat.,,,,,,,,RSA Challenger B_trust · weak · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · AU books trust challenger.
