Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Hire_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us,hire,va,Hire a Virtual Assistant,How to Hire a VA,Hire Dedicated Remote Staff,Tell Us Who You Need,You Interview. You Decide.,Dedicated Filipino Assistants,Not a Gig Marketplace,Add Support Without the Drag,Find Skilled Remote Talent,We Shortlist. You Choose.,For Growing US Businesses,Spend Less Time Hiring,"A Named Teammate, Not Tasks",Get the Seat You Actually Need,{KeyWord:Hire a Virtual Assistant},Tell us who you need. We recruit and screen. You interview before anyone starts.,Hire a dedicated virtual assistant in the Philippines for your US hours.,"This is a staffing company, not a freelance app. You keep the hire decision.",Built for businesses adding staff — not for people looking for work.,,,,,,,,RSA Challenger A_intent · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Intent+clarity for hire-a-VA searches. Matches /us H1 and winning 'you interview' theme.
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Hire_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us,staffing,hire,Staffing Company Since 2011,Hire Proven Remote Talent,Screened People. You Decide.,"Trusted Hiring, Less Friction",Build Your Team With Less Drag,You Meet Finalists First,"Dedicated Seat, Not a Bench",We Handle Payroll After Hire,US Hours. One Named Person.,Growing Teams Hire This Way,Talk to Our Staffing Team,Real Shortlist. Real Company.,Skip Sorting Applicants,Keep Overhead Off This Seat,"A Partner, Not a Platform",Virtual Coworker has recruited dedicated Filipino staff for businesses since 2011.,"We shortlist. You interview. After you hire, we handle payroll and stay on support.",A staffing company with US and Australia offices — not a freelance marketplace.,Tell us the seat. We'll help you find the person. Nobody starts until you say yes.,,,,,,,,RSA Challenger B_trust · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Trust+employer outcome. Uses substantiated since-2011 / you-interview / we-employ proof.
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Offshore_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us,philippines,va,Philippines Virtual Assistant,Filipino Virtual Assistants,Hire Remote Staff Overseas,Virtual Assistant Philippines,Dedicated Philippines Staff,Offshore Help You Interview,One Person. Your US Hours.,Not Rotating Freelancers,Outsource the Seat. You Pick.,Remote Talent for US Teams,Tell Us the Role You Need,"Staffing, Not a Marketplace",Hire Filipino Remote Support,A Dedicated Offshore Seat,Get Philippines Staff On Hours,Hire a dedicated virtual assistant in the Philippines who works your US hours.,We recruit and vet Filipino staff. You interview. Nobody starts without your yes.,Offshore help with a named person — not a rotating freelance bench.,Tell us the role. We shortlist. You decide who joins your team.,,,,,,,,RSA Challenger A_intent · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Direct-response for philippines/filipino VA terms that historically convert.
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Offshore_VA_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us,offshore,trust,Recruited Since 2011,Screened Filipino Talent,You Interview the Shortlist,Established Staffing Partner,"Dedicated, Not Freelance",We Employ Them After You Hire,Trusted Offshore Hiring,Reduce Hiring Friction,Named Teammate on Your Hours,A Company Behind the Hire,Talk Through the Role First,Not a Freelance Marketplace,"Scale the Team, Not Overhead",Philippines Staff You Choose,Real Offices. Real Recruiting.,An established staffing company. Philippines recruiting. You keep the hire decision.,Screened Filipino talent for US hours. You meet them before they join.,"After you hire, we employ them and handle payroll. You manage the work.","Growing teams use this when they want a person, not a gig listing.",,,,,,,,RSA Challenger B_trust · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Trust challenger against robotic 'Offshore VA PH' / 'Staffing Seat Evidence' incumbents.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Bookkeeping_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,bookkeeping,hire,Hire a Philippines Bookkeeper,Hire a Dedicated Bookkeeper,Bookkeeping Support for Hire,"Invoices, Bills, Reconciles",QuickBooks or Xero Support,Day-to-Day Books Support,You Interview the Bookkeeper,Not a Books Freelance Bench,Tell Us Your Books Stack,Dedicated Books Seat,Month-End Without the Scramble,"Remote Bookkeeper, Your Hours","Hire Books Help, Keep Your CPA",Get a Bookkeeping Shortlist,Routine Reconciles Covered,"Hire a dedicated Filipino bookkeeper for invoices, records, and reconciliations.","Tell us QuickBooks, Xero, or what you use. You interview before anyone starts.",Day-to-day books support on your US hours — not licensed accounting advice.,We recruit against the seat. You keep your CPA for judgment work.,,,,,,,,RSA Challenger A_intent · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Role-specific books language aligned to live /us/bookkeeping H1.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Bookkeeping_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,team,Screened Bookkeeping Talent,Staffing for Your Books Seat,You Meet Them First,Trusted Books Support,Recruited for Your Tools,We Handle Payroll After Hire,A Person Who Owns the Books,"Support, Not Licensed Advice",Talk to Our Staffing Team,Growing Teams Add Books Help,Keep Your CPA. Add Capacity.,Real Company Behind the Seat,Skip the Books Freelance Hunt,Dedicated Bookkeeper Hiring,Your Hours. Named Bookkeeper.,We recruit and vet bookkeeping support. You interview. We handle payroll after you hire.,A staffing company since 2011 — not a rotating freelance books bench.,One dedicated person on your hours so month-end is not a scramble.,Tell us the tools and the close rhythm. We'll help you find the seat.,,,,,,,,RSA Challenger B_trust · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Trust+continuity for the strongest role URL in recent GA4 notes.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Customer_Service_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,support,hire,Hire Customer Service Staff,Dedicated Support Seat,"Email, Chat, or Tickets",Hire Philippines Support Staff,Customer Service for US Hours,You Interview Support Staff,Not a Call-Center Dump,Someone Who Knows Your Product,Tell Us the Channels You Cover,Dedicated Inbox and Chat Help,"Hire Support, Keep Your Voice",Get a Support Shortlist,Remote Customer Care Staff,A Named Person on the Queue,Order Updates That Don't Sit,"Hire dedicated Filipino customer service staff for email, chat, or tickets.",One named person on your US hours — not a rotating freelance roster.,Tell us the channels. We shortlist. You interview before anyone starts.,Support that sounds like your team. You keep the hire decision.,,,,,,,,RSA Challenger A_intent · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Queue/channel language matches live CS LP and customer-service VA search terms.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Customer_Service_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,care,team,Screened Support Talent,Trusted Customer Care Hiring,Meet Them Before They Start,"Dedicated Seat, Not a Roster",Staffing for Your Support Desk,We Employ Them After You Hire,"Consistent Replies, Your Hours",Talk Through the Support Seat,Growing Teams Add Support Here,Not Freelance Ticket Hopping,Real Recruiting for Care Roles,A Company Behind the Queue,You Choose Who Joins Support,Reduce Queue Backlog,Screened Agents. Your Voice.,"We recruit customer service staff. You interview. After you hire, we handle payroll.",Consistent replies from a dedicated seat — not a freelance ticket hop.,Staffing since 2011 for US businesses that want someone they have met.,Tell us the product and the hours. We'll help you find the person.,,,,,,,,RSA Challenger B_trust · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Trust challenger; CS LP already shows stronger engagement than other role pages.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Sales_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,support,Hire Sales Support Staff,CRM Follow-Up for Hire,"Sales Admin, Not Cold Calling",Pipeline Follow-Up Support,Hire a Sales Support Seat,Research and CRM Hygiene,You Interview Sales Support,"Lists, Notes, Next Steps",Not a Dialer Farm,Tell Us the Sales Seat,Dedicated Follow-Up Help,Closers Stay With Buyers,Remote Sales Admin Staff,Get a Sales Support Shortlist,Hire Help for the Pipeline,"Hire sales support for CRM hygiene, research, and follow-up — not a cold-call farm.","A dedicated Filipino teammate so closers spend time with buyers, not the CRM.",You interview before anyone starts. Appointment setting only if that is the brief.,Tell us the pipeline work. We shortlist. You decide who joins.,,,,,,,,RSA Challenger A_intent · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Follow-up/CRM language from the sales trust page. Avoids setter-only pitch.
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=trust_rsa_20260819,Sales_Hire_PH,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us/sales,pipeline,hire,Screened Sales Support Talent,Trusted Pipeline Admin Hiring,You Meet Them Before Outreach,Dedicated CRM Owner,Staffing for Follow-Up Work,We Stay On After You Hire,"Support Seat, Not a Closer",Talk Through the Sales Brief,Growing Teams Add Follow-Up,Not Appointment-Setter Only,Real Company. Real Shortlist.,Reduce Follow-Up Drop-Off,Your CRM. Your Hours.,Hire Support Around Closers,Skip the Freelance SDR Shuffle,We recruit sales support staff. You interview. We handle payroll after you hire.,Follow-up and CRM owned by one person — not a rotating setter bench.,An established staffing company. You keep the hire decision.,Tell us the CRM and the work. We'll help you find the seat.,,,,,,,,RSA Challenger B_trust · trust · trust_rsa_20260819 · Ad row only · Campaign/AG Status blank (live-safe) · Brand deferred · no budget/bid/keyword change · Trust+employer outcome; keeps setter groups from leaking into this RSA.
