Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au,,,,,,,,,,,,,,,,,,,,,,Tell Us Who You Need,Tell us the role you need,A specialist will follow up,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/how-it-works?market=au,,,,,,,,,,,,,,,,,,,,,,How Hiring Works,We recruit. You interview.,You choose who starts.,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/quiz,,,,,,,,,,,,,,,,,,,,,,Take the VA Quiz,Find the right staff role,A short quiz for employers,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/services?market=au,,,,,,,,,,,,,,,,,,,,,,Hire by Role,"Admin, books, or marketing","Dedicated staff, your hours",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/administrative-support,,,,,,,,,,,,,,,,,,,,,,Admin Support Hire,EA and admin on your hours,"Calendar, inbox, follow-up",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_CORE,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/bookkeeping,,,,,,,,,,,,,,,,,,,,,,Bookkeeping Hire,Books done without local hire,"Invoices, reports, your hours",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au,,,,,,,,,,,,,,,,,,,,,,Tell Us Who You Need,Tell us the role you need,A specialist will follow up,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/how-it-works?market=au,,,,,,,,,,,,,,,,,,,,,,How Hiring Works,We recruit. You interview.,You choose who starts.,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/quiz,,,,,,,,,,,,,,,,,,,,,,Take the VA Quiz,Find the right staff role,A short quiz for employers,,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/digital-marketing,,,,,,,,,,,,,,,,,,,,,,Digital Marketing Hire,Marketing help on your hours,"Content, ads, and campaigns",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/social-media,,,,,,,,,,,,,,,,,,,,,,Social Media Hire,Social managed on your hours,"Posts, replies, your hours",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
573-539-1940,Sitelink,VC_AU_S_ROLES,Search,,,,,Google Search,,,Presence,,,,,,,,,,,https://www.virtualcoworker.app/au/bookkeeping,,,,,,,,,,,,,,,,,,,,,,Bookkeeping Hire,Books done without local hire,"Invoices, reports, your hours",,,,,Sitelink descriptions only 2026-08-17; Link Text + Final URL unchanged; Campaign Status blank (live-safe); not account-level / not Brand; do not revive Employer Home
