Account,Campaign,Keyword,Match type,Comment
496-715-1855,VC_US_S_CORE,job,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,jobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,career,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,careers,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,salary,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,apply,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,indeed,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_CORE,onlinejobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,job,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,jobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,career,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,careers,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,salary,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,apply,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,indeed,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
496-715-1855,VC_US_S_ROLES,onlinejobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,job,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,jobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,career,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,careers,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,salary,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,apply,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,indeed,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_CORE,onlinejobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,job,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,jobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,career,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,careers,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,salary,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,apply,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,indeed,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
573-539-1940,VC_AU_S_ROLES,onlinejobs,Phrase,VC_Neg_JobSeekers_Daily_2026-08-19 · Phrase/Exact · do not add competitor brands
