Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Labels,Comment
496-715-1855,Ad group,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · Core realtor/real-estate cluster. Exact+Phrase only. · Final URL=/us/real-estate · Campaign Status blank (live-US-safe)
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,virtual assistant real estate,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Exact · virtual assistant real estate
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,virtual assistant real estate,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Phrase · virtual assistant real estate
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,realtor virtual assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Exact · realtor virtual assistant
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,realtor virtual assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Phrase · realtor virtual assistant
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,real estate agent virtual assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Exact · real estate agent virtual assistant
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,real estate agent virtual assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Phrase · real estate agent virtual assistant
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,real estate virtual assistant services,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Exact · real estate virtual assistant services
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,real estate virtual assistant services,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Phrase · real estate virtual assistant services
496-715-1855,Keyword,VC_US_S_ROLES,Search,,,,,Google Search,en,,Presence,,,Real_Estate_VA_PH,,,virtual assistant services for realtors,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_REAL_ESTATE_TEST_2026-08-18,VC_REAL_ESTATE_TEST_2026-08-18 · +Exact · virtual assistant services for realtors
