Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,virtual assistant philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,philippines virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,philippines virtual assistants,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,virtual assistant in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,virtual assistants in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire a virtual assistant from the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire a virtual assistant in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire virtual assistant philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire philippines virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire a filipino virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,hire filipino virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,filipino virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,filipino virtual assistants,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer Exact · job-seeker risk · Paused · do not enable until George Posts in Editor · live Final URL on virtualcoworker.app · no Brand · no generic virtual assistants head-term group · Offshore_VA_PH → /us/philippines-virtual-assistants · job-seeker risk medium
