Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad group,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,,,,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · NEW Paused AG TF_PH_VA → /us/philippines-virtual-assistants · do not enable until George Posts
496-715-1855,Ad,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/philippines-virtual-assistants,ph,va,Filipino Virtual Assistant,VA Philippines Staffing,Philippines VA Company,US PH Remote Hire,Offshore VA Partner,Virtual Staff Philippines,Dedicated PH VA Seat,Outsource Admin to PH,Not Gig Offshore VA,Vetted Filipino Talent,Remote Staff From PH,Employer PH Hire Path,Interview Before Place,Staffing Not Freelance,{KeyWord:Philippines Virtual Assistant},Philippines VA and remote staff for US business ops capacity.,"Filipino talent shortlist — you interview; we recruit, vet, and support.",Offshore staffing partner model. Not Upwork. Not a job board.,Businesses only. An accepted form is not a hire or placement.,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,virtual assistant in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,philippines virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,philippines virtual assistants,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,virtual assistants in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,hire a virtual assistant from the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,hire a virtual assistant in the philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,hire virtual assistant philippines,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
496-715-1855,Keyword,VC_US_S_CORE,Search,,,,,Google Search,en,,Presence,,,TF_PH_VA,Paused,,hire philippines virtual assistant,Exact,Paused,,,https://www.virtualcoworker.app/us/philippines-virtual-assistants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new TF test AGs — do not touch existing groups · 2026-08-18 · NEW Paused AGs only · Campaign status blank · overlap with live AGs OK · no Brand · no CS · no setters · no Broad/DSA/PMax · Final URL on virtualcoworker.app · TF_PH_VA → /us/philippines-virtual-assistants
