Account,Row Type,Campaign,Ad Group,Keyword,Match,Keyword Status,Future LP (not live),Cluster status,Comment
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,virtual assistant philippines,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,philippines virtual assistant,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,offshore virtual assistant,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,filipino virtual assistant,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,outsourcing virtual assistant,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,virtual assistant overseas,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,remote staff philippines,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,philippines va,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,offshore virtual assistants,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
496-715-1855,Keyword,VC_US_S_CORE,Offshore_VA_PH,hire filipino virtual assistant,Exact,Paused,/us/philippines-virtual-assistants,expand,"PREVIEW ONLY · Paused/review-only · NOT an Editor import · do not upload to the live account · future LP only, Final URLs stay until /us events are trusted · US CORE PH VA Exact · retarget LP later · evidence: live Phrase/Exact + competitor seed language already in account"
