Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative,Labels,Comment
496-715-1855,Ad group,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,New exact/phrase exploration AG → /us main control
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeper,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeper,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,hire quickbooks bookkeeper,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,hire quickbooks bookkeeper,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,outsourced quickbooks bookkeeping,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,outsourced quickbooks bookkeeping,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeping help,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeping help,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,remote quickbooks bookkeeper,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,remote quickbooks bookkeeper,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeping service,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks bookkeeping service,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks login,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks download,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks tutorial,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks training,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks certification,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks customer service number,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks technical support,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks course,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks class,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,quickbooks proadvisor course,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=quickbooks_bookkeeper_direct&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,hire,Hire a QuickBooks Bookkeeper,QuickBooks Help for Employers,Bookkeeping Staff for Teams,Hire Remote Bookkeeping Help,Outsourced QuickBooks Support,Fill Your Books Role Fast,Dedicated Bookkeeping Hire,Philippines Bookkeeping Staff,Tell Us the Books Role,Interview Your Shortlist,Staff Your Finance Ops,Get Books Support On Call,,,,Hire a QuickBooks bookkeeper for your company. We recruit and you interview.,Outsourced QuickBooks help for growing teams. Full-time or part-time seats.,Remote bookkeeping staff on your hours. No recruitment fees to start.,Tell us the role. We screen candidates. You choose who joins your business.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=direct; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=quickbooks_bookkeeper_relief&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,relief,"Your Books, Finally Caught Up",Stop Chasing Month-End Chaos,Reconciliations Off Your Desk,Keep Invoices Moving Daily,Close Books Without Overtime,Hand Off Routine Book Work,Catch Up Without Hiring Drama,Free Ops From Spreadsheets,Month-End Without the Scramble,Let Finance Focus Again,Books That Stay Current,Relief for Busy Operators,,,,"When books slip, everything slips. Get dedicated help for your company books.",Stop living in catch-up mode. A remote bookkeeper works your hours.,"Invoices, reconciliations, and routine reporting owned by one seat.",You stay in control. We recruit. You interview. Nobody starts without your yes.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=relief; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,QuickBooks_Bookkeeper,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=quickbooks_bookkeeper_trust&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,trust,From $7/Hour Staffing,Vetted Philippines Talent,Talent Working Your Hours,We Recruit and Screen,Support for Growing Teams,Lower the Cost of Hiring,Build Team Without Overhead,No Recruitment Fees,You Interview the Shortlist,Staffing Partner Since 2011,Payroll and HR Included,Hire With a Clear Process,,,,From $7/hour for dedicated Philippines staff. We recruit and vet for your role.,Vetted talent on your business hours. You interview before anyone starts.,"We handle recruiting, screening, payroll, and HR after you hire.",Built for growing US companies that need reliable bookkeeping support.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=trust; no DKI; lp=us-main-control
496-715-1855,Ad group,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,New exact/phrase exploration AG → /us main control
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,virtual executive assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,virtual executive assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
