account,campaign,status,channel,bidding,cohort,cost,clicks,impressions,reported_conversions,all_conversions,reported_cpa,confidence,trustworthy_employer_leads,date_range,note
US,LK - Generic VA,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,150185.89,4574,84975,343.0,544.25,437.86,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,[Original] NA - Performance Max,PAUSED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,pmax,145863.23,34122,4045997,400.49,1077.73,364.21,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
US,PM_US_DSA_Generic_Catch-all,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,dsa,89583.6,4403,69295,68.37,542.57,1310.3,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
US,LK - Specific Services,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,80584.43,2638,51734,225.5,365.79,357.36,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,US | Search Campaign,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,legacy_other,76496.94,4418,105019,250.0,281.0,305.99,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,LK - SKAG - [Virtual Assistant],PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,47702.12,2207,53186,175.5,221.9,271.81,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,PM_US_RSA_Generic_Role-Specific,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,18704.94,521,4822,7.5,76.25,2493.99,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,LK - US | Competitor | Search | Exact,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,competitor,14244.41,585,13587,32.0,42.0,445.14,uncertain,unverified,2024-08-01 to 2026-08-12,Competitor conquest. Do not revive.
US,PM_US_RSA_Generic_Pain-point Intent,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,13069.7,290,3570,4.63,33.26,2822.87,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,PM_US_RSA_Brand,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,brand_deferred,12989.75,1148,4477,16.0,136.72,811.79,uncertain,unverified,2024-08-01 to 2026-08-12,Brand classified only. High all-conv vs conv. Not a Stage 1 recovery path.
US,PM_US_RSA_Generic_Core Category,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,12828.33,287,3405,4.0,32.2,3207.08,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,US | DSA,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,dsa,11302.05,1500,20067,35.0,49.0,322.92,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
US,[Original] NA - Search - Brand,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,brand_deferred,9357.05,1966,17088,92.83,113.8,100.8,uncertain,unverified,2024-08-01 to 2026-08-12,Brand classified only. High all-conv vs conv. Not a Stage 1 recovery path.
US,PM_US_RSA_Competitors,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,competitor,8200.1,337,4630,0.5,16.88,16400.2,uncertain,unverified,2024-08-01 to 2026-08-12,Competitor conquest. Do not revive.
