account,canonical_url,class,cost,clicks,conversions,all_conversions,live_status,employer_form,job_seeker_nav,confidence,trust_note,date_range
US,https://virtualcoworker.com/,wp_home,395820.15,45876,977.6,2219.23,200,False,True,duplicate-non-lead,Homepage has no lead form. Job-seeker nav to .ph. Historical conversions cannot be employer forms on this URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/,wp_home,252433.57,27300,871.61,2227.81,200,False,True,duplicate-non-lead,Homepage has no lead form. Job-seeker nav to .ph. Historical conversions cannot be employer forms on this URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/pricing-savings-guide,wp_services_or_content,111438.33,4093,209.17,483.58,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/hire-social-media-manager-philippines,wp_services_or_content,68258.74,15017,294.12,572.24,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/social-media-managers,wp_services_or_content,32325.16,1382,66.5,175.26,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/digital-marketing-managers,wp_services_or_content,18136.64,5076,63.5,114.1,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/virtual-assistant-services,wp_services_or_content,17477.09,496,18.67,72.5,200,False,True,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/pricing-savings-guide,wp_services_or_content,17191.64,679,76.5,175.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/services-philippines-bookkeeper-accountant,wp_services_or_content,16377.72,377,25.0,75.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/virtual-assistants,wp_services_or_content,15906.9,371,16.0,71.93,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/how-it-works,wp_services_or_content,15034.39,847,41.0,80.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/how-it-works,wp_services_or_content,13005.1,863,20.0,64.8,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com/,wp_home,11984.3,428,5.0,6.0,200,False,True,duplicate-non-lead,Homepage has no lead form. Job-seeker nav to .ph. Historical conversions cannot be employer forms on this URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/services-philippines-bookkeeper-accountant-au,wp_services_or_content,11038.32,218,1.0,25.94,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/executive-assistant,wp_services_or_content,8796.46,529,26.83,28.83,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/digital-marketing-specialist,wp_services_or_content,6938.22,22249,853.0,911.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/lead-generation-specialists,wp_services_or_content,6821.82,196,17.33,35.67,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/digital-marketing-managers,wp_services_or_content,5274.43,212,17.0,31.5,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/recruitment-assistant-from-philippines,wp_services_or_content,4023.96,134,4.5,8.5,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/lp-fb,wp_lp_dead_or_fb,3787.76,109,0.0,14.33,200,True,True,uncertain,See crawl.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/customer-service-specialists,wp_services_or_content,3353.73,327,1.5,2.5,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/customer-service-representative-from-philippines-au,wp_services_or_content,3275.0,827,6.0,14.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/services/executive-assistant-from-philippines,wp_services_or_content,3223.39,77,5.5,16.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
AU,https://virtualcoworker.com.au/services/lead-generation-specialist-from-philippines-au,wp_services_or_content,2799.86,72,2.5,17.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
US,https://virtualcoworker.com/service-businesses,wp_services_or_content,2541.95,88,0.0,13.0,,False,False,uncertain,Service/content page: no on-page employer form (crawl). Ads conversions attributed here are not form-on-URL.,2024-08-01 to 2026-08-12
