Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
573-539-1940,Campaign,VC_AU_S_CORE,Search,Paused,75,Daily,Maximize Clicks,Google Search,en,Australia,Presence,{lpurl},utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&utm_matchtype={matchtype}&utm_device={device}&lp_version=stage1-v7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage1 v7 CORE (~60%); Max Clicks; Search only; Exact+Phrase; Paused; Brand deferred; Final URL=market home
573-539-1940,Ad group,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORE AG — Hire_VA_PH; Final URL=market home
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistants for hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant for hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,va for hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,looking for a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,looking for virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,how to hire a virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,how to hire a virtual assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire filipino virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a filipino virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire filipino virtual assistants,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire filipino va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a filipino va,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire virtual assistant from philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire philippines virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a virtual assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire virtual assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire va philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire offshore virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire overseas virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire remote virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a va in the philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire a virtual assistant in the philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hiring virtual assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hire virtual assistant ph,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant hiring philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant hiring,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,hiring virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,filipino virtual assistant for hire,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,where to hire virtual assistant philippines,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant services,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,va services,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,va agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_Keywords_Paused_Live · George paused live USA Exact junk/general/job-seeker-y terms; synced from Editor DB ape_4967151855 (Get recent changes). Phrase stays paused (Exact-only bidding). (2026-08-07); was Exact
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant company,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant companies,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,dedicated virtual assistant,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,virtual assistant for business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
573-539-1940,Keyword,VC_AU_S_CORE,Search,Paused,,Daily,Maximize Clicks,Google Search,,,Presence,,,Hire_VA_PH,Paused,,remote virtual assistant for business,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v6 Exact — ST evidence + employer long-tail
