Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative,Comment
Campaign,VC_US_S_BRAND,Search,Paused,[APPROVAL_DAILY_BUDGET_USD],Daily,Maximize Clicks,Google Search,en,United States,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,,,[APPROVAL_MAX_CPC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage1 Max Clicks; Search partners OFF; Display expansion OFF; confirm in Editor
Ad group,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,One RSA per AG
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtual coworker,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtualcoworker,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtual coworker usa,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtual coworker staffing,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtual coworker pricing,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],virtual coworker reviews,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,Brand,Paused,[APPROVAL_MAX_CPC],,,,Paused,Responsive search ad,https://vision-three-alpha.vercel.app/us,hire,usa,Virtual Coworker Official,Hire Offshore Staff,Virtual Coworker USA,Staffing Partner for US,Vetted Philippines Talent,Recruit Vet & Manage,Not a VA Marketplace,Employers Hiring Staff,Dedicated Remote Hires,US Business Staffing,Build Your Remote Team,Interview Your Shortlist,Clear Employer Path,Offshore Staffing Partner,Request a Hiring Consult,Hire dedicated Philippines staff through a staffing partner — not a gig marketplace.,"You interview shortlisted talent. We recruit, vet, and support the hire ops.",Employers only. Request a consult for your US or Australian business.,Clear path from inquiry to dedicated hire with account support.,,Employer-intent only; Final URL = Stage1 paid LP
Campaign negative keyword,VC_US_S_BRAND,Search,Paused,,Daily,Maximize Clicks,Google Search,en,,Presence,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,utm_source=google&utm_medium=cpc&utm_campaign={_campaign}&utm_content={_adgroup}&utm_term={keyword}&lp_version=stage1-v1,,,[APPROVAL_MAX_CPC],job,Broad,,,,,,,,,,,,,,,,,,,,,,,,,,True,Curated Stage1 jobseeker/info negatives — not historical wholesale import
