account,search_term,class,cost,clicks,conversions,all_conversions,cpa,confidence,date_range,note
US,virtual assistant philippines,employer_intent_keep,17668.74,446.0,34.5,60.5,512.14,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,philippines virtual assistant,employer_intent_keep,6992.2,164.0,9.0,17.0,776.91,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,how to hire a virtual assistant,employer_intent_keep,610.1,35.0,8.5,10.5,71.78,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,filipino virtual assistant,employer_intent_keep,3378.31,88.0,8.0,16.0,422.29,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,virtual assistants philippines,employer_intent_keep,5337.46,104.0,7.33,12.67,728.17,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,virtual assistants for hire,employer_intent_keep,1547.64,50.0,6.0,9.0,257.94,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,hire a virtual assistant,employer_intent_keep,1586.0,42.0,5.0,13.0,317.2,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,hire virtual assistant,employer_intent_keep,2411.71,76.0,4.0,6.0,602.93,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,how to hire a virtual assistant philippines,employer_intent_keep,372.13,14.0,4.0,4.0,93.03,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,virtual assistant in philippines,employer_intent_keep,1699.9,42.0,3.0,8.0,566.63,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,social media manager philippines,employer_intent_keep,1155.25,44.0,3.0,8.0,385.08,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,hire virtual assistant from philippines,employer_intent_keep,647.95,13.0,3.0,7.0,215.98,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,hire filipino virtual assistants,employer_intent_keep,628.87,11.0,3.0,3.0,209.62,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,filipino vas,employer_intent_keep,447.64,14.0,3.0,3.0,149.21,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
US,virtual assistant for hire,employer_intent_keep,946.75,29.0,2.0,2.0,473.38,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,virtual assistant philippines,employer_intent_keep,14687.3,319.0,37.0,86.67,396.95,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
