Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,virtual assistant firm,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,va firm,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,virtual staffing agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,virtual staffing firm,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,remote staffing agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,remote staffing agencies,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,virtual assistant staffing agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,virtual assistant outsourcing agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Hire_VA_PH,,,dedicated virtual assistant agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
496-715-1855,Keyword,VC_US_S_CORE,Search,,,Daily,Maximize Clicks,Google Search,en,,Presence,,,Offshore_VA_PH,,,philippines virtual assistant agency,Exact,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agency-intent Exact add (2026-08-09) · employer looking for PH VA / staffing agency·firm·company·outsourcing — not job-seeker; keep Paused until George enables · Campaign/Ad Group Status blank on purpose (live US-safe)
