Account,Campaign,Keyword,Match type,Comment
496-715-1855,VC_US_S_BRAND,job,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,careers,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,career,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,login,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,employee,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,payroll portal,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,application status,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,salary,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,salaries,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,apply,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,application,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,resume,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,cv,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,vacancy,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,vacancies,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,work from home,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,work from home jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,virtual assistant jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,philippines jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,remote jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,employee login,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,applicant login,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,bpo,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,call center,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,call centre,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,callcenter,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,va jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,job opening,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,job openings,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,i want a job,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,looking for a job,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
496-715-1855,VC_US_S_BRAND,hiring jobs,Broad,"VC_US_S_BRAND dedicated negatives; NOT PM_* mega list; MMC Keywords, Negative only; hiring/philippines omitted on purpose"
